('329', 'INT', 'Crime Classication Code', 'VALID', 294)
('180', 'INT', 'Crime Classication Code', 'VALID', 305)
('185', 'INT', 'Crime Classication Code', 'VALID', 334)
('659', 'INT', 'Crime Classication Code', 'VALID', 336)
('858', 'INT', 'Crime Classication Code', 'VALID', 345)
('464', 'INT', 'Crime Classication Code', 'VALID', 348)
('879', 'INT', 'Crime Classication Code', 'VALID', 350)
('164', 'INT', 'Crime Classication Code', 'VALID', 354)
('477', 'INT', 'Crime Classication Code', 'VALID', 365)
('548', 'INT', 'Crime Classication Code', 'VALID', 372)
('479', 'INT', 'Crime Classication Code', 'VALID', 383)
('695', 'INT', 'Crime Classication Code', 'VALID', 388)
('363', 'INT', 'Crime Classication Code', 'VALID', 395)
('450', 'INT', 'Crime Classication Code', 'VALID', 432)
('772', 'INT', 'Crime Classication Code', 'VALID', 433)
('520', 'INT', 'Crime Classication Code', 'VALID', 433)
('808', 'INT', 'Crime Classication Code', 'VALID', 439)
('519', 'INT', 'Crime Classication Code', 'VALID', 461)
('266', 'INT', 'Crime Classication Code', 'VALID', 470)
('360', 'INT', 'Crime Classication Code', 'VALID', 474)
('703', 'INT', 'Crime Classication Code', 'VALID', 482)
('341', 'INT', 'Crime Classication Code', 'VALID', 484)
('647', 'INT', 'Crime Classication Code', 'VALID', 490)
('565', 'INT', 'Crime Classication Code', 'VALID', 492)
('781', 'INT', 'Crime Classication Code', 'VALID', 540)
('788', 'INT', 'Crime Classication Code', 'VALID', 560)
('727', 'INT', 'Crime Classication Code', 'VALID', 595)
('764', 'INT', 'Crime Classication Code', 'VALID', 606)
('395', 'INT', 'Crime Classication Code', 'VALID', 613)
('509', 'INT', 'Crime Classication Code', 'VALID', 633)
('665', 'INT', 'Crime Classication Code', 'VALID', 651)
('396', 'INT', 'Crime Classication Code', 'VALID', 678)
('426', 'INT', 'Crime Classication Code', 'VALID', 682)
('761', 'INT', 'Crime Classication Code', 'VALID', 685)
('234', 'INT', 'Crime Classication Code', 'VALID', 722)
('435', 'INT', 'Crime Classication Code', 'VALID', 760)
('112', 'INT', 'Crime Classication Code', 'VALID', 779)
('907', 'INT', 'Crime Classication Code', 'VALID', 782)
('652', 'INT', 'Crime Classication Code', 'VALID', 788)
('724', 'INT', 'Crime Classication Code', 'VALID', 790)
('644', 'INT', 'Crime Classication Code', 'VALID', 791)
('918', 'INT', 'Crime Classication Code', 'VALID', 808)
('802', 'INT', 'Crime Classication Code', 'VALID', 846)
('514', 'INT', 'Crime Classication Code', 'VALID', 851)
('379', 'INT', 'Crime Classication Code', 'VALID', 857)
('193', 'INT', 'Crime Classication Code', 'VALID', 862)
('596', 'INT', 'Crime Classication Code', 'VALID', 867)
('110', 'INT', 'Crime Classication Code', 'VALID', 869)
('111', 'INT', 'Crime Classication Code', 'VALID', 899)
('271', 'INT', 'Crime Classication Code', 'VALID', 908)
('625', 'INT', 'Crime Classication Code', 'VALID', 915)
('428', 'INT', 'Crime Classication Code', 'VALID', 917)
('643', 'INT', 'Crime Classication Code', 'VALID', 1003)
('570', 'INT', 'Crime Classication Code', 'VALID', 1008)
('375', 'INT', 'Crime Classication Code', 'VALID', 1026)
('730', 'INT', 'Crime Classication Code', 'VALID', 1033)
('183', 'INT', 'Crime Classication Code', 'VALID', 1055)
('191', 'INT', 'Crime Classication Code', 'VALID', 1062)
('432', 'INT', 'Crime Classication Code', 'VALID', 1087)
('455', 'INT', 'Crime Classication Code', 'VALID', 1147)
('683', 'INT', 'Crime Classication Code', 'VALID', 1226)
('442', 'INT', 'Crime Classication Code', 'VALID', 1230)
('731', 'INT', 'Crime Classication Code', 'VALID', 1245)
('197', 'INT', 'Crime Classication Code', 'VALID', 1403)
('848', 'INT', 'Crime Classication Code', 'VALID', 1406)
('199', 'INT', 'Crime Classication Code', 'VALID', 1418)
('347', 'INT', 'Crime Classication Code', 'VALID', 1428)
('244', 'INT', 'Crime Classication Code', 'VALID', 1471)
('507', 'INT', 'Crime Classication Code', 'VALID', 1514)
('277', 'INT', 'Crime Classication Code', 'VALID', 1547)
('241', 'INT', 'Crime Classication Code', 'VALID', 1549)
('366', 'INT', 'Crime Classication Code', 'VALID', 1630)
('159', 'INT', 'Crime Classication Code', 'VALID', 1646)
('391', 'INT', 'Crime Classication Code', 'VALID', 1670)
('544', 'INT', 'Crime Classication Code', 'VALID', 1671)
('155', 'INT', 'Crime Classication Code', 'VALID', 1703)
('502', 'INT', 'Crime Classication Code', 'VALID', 1746)
('744', 'INT', 'Crime Classication Code', 'VALID', 1755)
('181', 'INT', 'Crime Classication Code', 'VALID', 1761)
('505', 'INT', 'Crime Classication Code', 'VALID', 1871)
('201', 'INT', 'Crime Classication Code', 'VALID', 1887)
('489', 'INT', 'Crime Classication Code', 'VALID', 1909)
('380', 'INT', 'Crime Classication Code', 'VALID', 1910)
('392', 'INT', 'Crime Classication Code', 'VALID', 1935)
('493', 'INT', 'Crime Classication Code', 'VALID', 1961)
('437', 'INT', 'Crime Classication Code', 'VALID', 1980)
('508', 'INT', 'Crime Classication Code', 'VALID', 1992)
('177', 'INT', 'Crime Classication Code', 'VALID', 2011)
('153', 'INT', 'Crime Classication Code', 'VALID', 2030)
('430', 'INT', 'Crime Classication Code', 'VALID', 2107)
('408', 'INT', 'Crime Classication Code', 'VALID', 2159)
('335', 'INT', 'Crime Classication Code', 'VALID', 2365)
('708', 'INT', 'Crime Classication Code', 'VALID', 2449)
('377', 'INT', 'Crime Classication Code', 'VALID', 2459)
('512', 'INT', 'Crime Classication Code', 'VALID', 2539)
('204', 'INT', 'Crime Classication Code', 'VALID', 2597)
('409', 'INT', 'Crime Classication Code', 'VALID', 2629)
('243', 'INT', 'Crime Classication Code', 'VALID', 2712)
('209', 'INT', 'Crime Classication Code', 'VALID', 2740)
('466', 'INT', 'Crime Classication Code', 'VALID', 2857)
('233', 'INT', 'Crime Classication Code', 'VALID', 2911)
('367', 'INT', 'Crime Classication Code', 'VALID', 3076)
('390', 'INT', 'Crime Classication Code', 'VALID', 3215)
('568', 'INT', 'Crime Classication Code', 'VALID', 3227)
('170', 'INT', 'Crime Classication Code', 'VALID', 3262)
('414', 'INT', 'Crime Classication Code', 'VALID', 3262)
('475', 'INT', 'Crime Classication Code', 'VALID', 3264)
('361', 'INT', 'Crime Classication Code', 'VALID', 3293)
