('02/19/2006', 'DATETIME', 'Report Date', 'VALID', 1065)
('03/20/2016', 'DATETIME', 'Report Date', 'VALID', 1065)
('01/22/2014', 'DATETIME', 'Report Date', 'VALID', 1066)
('12/22/2014', 'DATETIME', 'Report Date', 'VALID', 1066)
('11/11/2012', 'DATETIME', 'Report Date', 'VALID', 1066)
('01/25/2016', 'DATETIME', 'Report Date', 'VALID', 1067)
('01/03/2016', 'DATETIME', 'Report Date', 'VALID', 1068)
('02/07/2016', 'DATETIME', 'Report Date', 'VALID', 1068)
('12/11/2016', 'DATETIME', 'Report Date', 'VALID', 1068)
('01/27/2013', 'DATETIME', 'Report Date', 'VALID', 1068)
('12/09/2014', 'DATETIME', 'Report Date', 'VALID', 1069)
('04/03/2016', 'DATETIME', 'Report Date', 'VALID', 1069)
('02/17/2013', 'DATETIME', 'Report Date', 'VALID', 1071)
('01/02/2016', 'DATETIME', 'Report Date', 'VALID', 1072)
('01/16/2012', 'DATETIME', 'Report Date', 'VALID', 1073)
('12/07/2014', 'DATETIME', 'Report Date', 'VALID', 1073)
('01/09/2015', 'DATETIME', 'Report Date', 'VALID', 1074)
('12/18/2016', 'DATETIME', 'Report Date', 'VALID', 1074)
('12/06/2014', 'DATETIME', 'Report Date', 'VALID', 1075)
('02/08/2009', 'DATETIME', 'Report Date', 'VALID', 1076)
('11/27/2016', 'DATETIME', 'Report Date', 'VALID', 1076)
('12/04/2016', 'DATETIME', 'Report Date', 'VALID', 1078)
('12/19/2009', 'DATETIME', 'Report Date', 'VALID', 1079)
('12/31/2013', 'DATETIME', 'Report Date', 'VALID', 1079)
('12/02/2007', 'DATETIME', 'Report Date', 'VALID', 1080)
('01/08/2011', 'DATETIME', 'Report Date', 'VALID', 1081)
('01/25/2015', 'DATETIME', 'Report Date', 'VALID', 1081)
('12/07/2008', 'DATETIME', 'Report Date', 'VALID', 1082)
('11/05/2012', 'DATETIME', 'Report Date', 'VALID', 1083)
('12/29/2010', 'DATETIME', 'Report Date', 'VALID', 1083)
('02/09/2015', 'DATETIME', 'Report Date', 'VALID', 1084)
('12/13/2009', 'DATETIME', 'Report Date', 'VALID', 1084)
('11/30/2008', 'DATETIME', 'Report Date', 'VALID', 1085)
('01/02/2012', 'DATETIME', 'Report Date', 'VALID', 1085)
('12/30/2014', 'DATETIME', 'Report Date', 'VALID', 1085)
('03/03/2013', 'DATETIME', 'Report Date', 'VALID', 1086)
('02/21/2015', 'DATETIME', 'Report Date', 'VALID', 1086)
('12/31/2015', 'DATETIME', 'Report Date', 'VALID', 1086)
('01/02/2010', 'DATETIME', 'Report Date', 'VALID', 1087)
('03/23/2008', 'DATETIME', 'Report Date', 'VALID', 1088)
('01/26/2014', 'DATETIME', 'Report Date', 'VALID', 1088)
('06/28/2015', 'DATETIME', 'Report Date', 'VALID', 1089)
('02/21/2011', 'DATETIME', 'Report Date', 'VALID', 1090)
('02/15/2009', 'DATETIME', 'Report Date', 'VALID', 1090)
('12/20/2015', 'DATETIME', 'Report Date', 'VALID', 1090)
('05/28/2012', 'DATETIME', 'Report Date', 'VALID', 1090)
('01/07/2014', 'DATETIME', 'Report Date', 'VALID', 1091)
('03/10/2013', 'DATETIME', 'Report Date', 'VALID', 1091)
('04/01/2012', 'DATETIME', 'Report Date', 'VALID', 1093)
('02/13/2006', 'DATETIME', 'Report Date', 'VALID', 1093)
('12/31/2009', 'DATETIME', 'Report Date', 'VALID', 1094)
('02/24/2015', 'DATETIME', 'Report Date', 'VALID', 1094)
('01/24/2011', 'DATETIME', 'Report Date', 'VALID', 1096)
('05/19/2013', 'DATETIME', 'Report Date', 'VALID', 1096)
('03/11/2012', 'DATETIME', 'Report Date', 'VALID', 1097)
('12/06/2009', 'DATETIME', 'Report Date', 'VALID', 1097)
('10/18/2015', 'DATETIME', 'Report Date', 'VALID', 1098)
('02/22/2009', 'DATETIME', 'Report Date', 'VALID', 1098)
('02/07/2015', 'DATETIME', 'Report Date', 'VALID', 1098)
('11/06/2016', 'DATETIME', 'Report Date', 'VALID', 1098)
('04/30/2014', 'DATETIME', 'Report Date', 'VALID', 1098)
('12/31/2012', 'DATETIME', 'Report Date', 'VALID', 1099)
('04/25/2010', 'DATETIME', 'Report Date', 'VALID', 1099)
('11/02/2014', 'DATETIME', 'Report Date', 'VALID', 1101)
('01/04/2009', 'DATETIME', 'Report Date', 'VALID', 1101)
('07/04/2008', 'DATETIME', 'Report Date', 'VALID', 1102)
('02/18/2013', 'DATETIME', 'Report Date', 'VALID', 1102)
('02/20/2015', 'DATETIME', 'Report Date', 'VALID', 1103)
('04/07/2013', 'DATETIME', 'Report Date', 'VALID', 1103)
('12/14/2013', 'DATETIME', 'Report Date', 'VALID', 1103)
('03/29/2015', 'DATETIME', 'Report Date', 'VALID', 1103)
('04/22/2012', 'DATETIME', 'Report Date', 'VALID', 1104)
('02/03/2014', 'DATETIME', 'Report Date', 'VALID', 1105)
('02/05/2014', 'DATETIME', 'Report Date', 'VALID', 1105)
('11/23/2008', 'DATETIME', 'Report Date', 'VALID', 1107)
('03/30/2008', 'DATETIME', 'Report Date', 'VALID', 1107)
('03/09/2014', 'DATETIME', 'Report Date', 'VALID', 1107)
('05/08/2016', 'DATETIME', 'Report Date', 'VALID', 1107)
('02/13/2015', 'DATETIME', 'Report Date', 'VALID', 1107)
('01/10/2010', 'DATETIME', 'Report Date', 'VALID', 1108)
('01/21/2012', 'DATETIME', 'Report Date', 'VALID', 1108)
('02/25/2010', 'DATETIME', 'Report Date', 'VALID', 1109)
('02/01/2009', 'DATETIME', 'Report Date', 'VALID', 1109)
('02/14/2015', 'DATETIME', 'Report Date', 'VALID', 1109)
('12/14/2008', 'DATETIME', 'Report Date', 'VALID', 1109)
('09/02/2006', 'DATETIME', 'Report Date', 'VALID', 1109)
('05/09/2010', 'DATETIME', 'Report Date', 'VALID', 1109)
('03/27/2011', 'DATETIME', 'Report Date', 'VALID', 1110)
('02/18/2007', 'DATETIME', 'Report Date', 'VALID', 1110)
('03/02/2014', 'DATETIME', 'Report Date', 'VALID', 1110)
('10/29/2011', 'DATETIME', 'Report Date', 'VALID', 1110)
('01/17/2011', 'DATETIME', 'Report Date', 'VALID', 1110)
('04/12/2015', 'DATETIME', 'Report Date', 'VALID', 1110)
('10/02/2016', 'DATETIME', 'Report Date', 'VALID', 1111)
('02/09/2014', 'DATETIME', 'Report Date', 'VALID', 1112)
